                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r25.12.1"                               "gfortran"                                 "13.3.0"                   "x86_64-linux-25.12.1"                                 "CRMATH"                               "20260713"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66 
                            model_number                                num_zones                                 star_age                            time_step_sec                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                tri_alpha                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                             co_core_mass                            one_core_mass                             fe_core_mass                   neutron_rich_core_mass                             kh_timescale                              effective_T                                 log_Teff                                    log_L                                    log_R                                radius_cm                                 log_R_cm                                    log_g                        v_div_csound_surf                             log_center_T                           log_center_Rho                             log_center_P                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                             max_tau_conv                              num_retries                                num_iters 
                                       1                                      891                  5.0000000000000004E-006                  1.5778800000000001E+002                 -5.3010299956639804E+000                  1.1154486247277422E+000                  3.3345955482729458E+001                 -8.9999999999999982E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  9.9999999999353584E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.0035224808003356E-001                  8.7444820886396800E-008                  9.7933007934810501E-001                  9.7835361620665873E-001                 -2.5978592629374891E+001                 -2.6742016777480821E+001                 -1.4353023701840829E+001                 -1.4353023701839623E+001                 -2.5978887748546946E+001                 -2.9146527068078768E+001                 -2.6742016777480821E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.1154486247277422E+000                  1.1154421505898471E+000                  1.0422561901036314E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2288886220085605E+011                  3.1549471158124201E+004                  4.4989920838643567E+000                 -1.4315343089251966E+000                 -2.1910981613268143E+000                  4.4804727677367049E+008                  8.6513238420308340E+000                  8.8677135223255537E+000                 -2.1692283977559658E-006                  7.6785483285934122E+000                  7.9264987662886091E+000                  2.5220844335068019E+001                  2.5220844335068019E+001                  7.9264987662886091E+000                  7.6785483285934122E+000                  1.8029458074598383E+000                  4.9904376340038503E-001                  1.7984292495381059E+001                  0.0000000000000000E+000                  2.0427653556198913E-022                  3.8204556322864618E-002                  4.0072947425570721E-001                  1.4297424564416235E-009                  3.8383140872048934E-009                  3.5000000000000017E-015                  1.8549978130087496E-005                  1.4163020272395408E+003                                        1                                        8 
                                       5                                      924                  1.8920000000000002E-005                  1.3632883200000001E+002                 -5.3645162531850872E+000                  1.1154486247277562E+000                  3.3345955482729465E+001                 -8.9999999999999982E+000                  1.9508039391266942E-007                  1.0000000000000000E+000                  9.9999999999497802E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.0035224808002345E-001                  8.7444818737201813E-008                  9.7933007934809368E-001                  9.7835361620664740E-001                 -2.5978190913083072E+001                 -2.6742027472386962E+001                 -1.4353030182256269E+001                 -1.4353030182255063E+001                 -2.5978549423506134E+001                 -2.9061652680727576E+001                 -2.6742027472386962E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.1154486247277562E+000                  1.1154421505898477E+000                  1.0422561901036325E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0617331384771112E+011                  3.2723695282719298E+004                  4.5148623399344414E+000                 -1.3680425337765929E+000                 -2.1910927858926823E+000                  4.4805282246589088E+008                  8.6513292174649656E+000                  8.8677027714572958E+000                  4.9039277713911757E-006                  7.6785535017131528E+000                  7.9264990705266545E+000                  2.5220844762037125E+001                  2.5220844762037125E+001                  7.9264990705266545E+000                  7.6785535017131528E+000                  1.8029458075715150E+000                  4.9904376339984030E-001                  1.7984292506316681E+001                  0.0000000000000000E+000                  2.0427685343397015E-022                  3.8204555750543712E-002                  4.0072947307458362E-001                  5.4100515655520378E-009                  1.4524112967158022E-008                  1.3244000000000020E-014                  1.8549978133984536E-005                  2.5609330706276104E+005                                        2                                        6 
                                      10                                      931                  3.6517642705734291E-005                  7.2408114973680497E+001                 -5.6393167256008621E+000                  1.1154486247277740E+000                  3.3345955482729472E+001                 -8.9999999999999982E+000                  3.9016069134741936E-007                  1.7488964722013292E-007                  8.7444815067072811E-008                  1.0000000000000000E+000                  9.9999999999617650E-001                  9.0035224808001024E-001                  8.7444815067072811E-008                  9.7933007934807792E-001                  9.7835361620663164E-001                 -2.5977495161006967E+001                 -2.6742027472054581E+001                 -1.4353030181917179E+001                 -1.4353030181915971E+001                 -2.5977898275037873E+001                 -2.9010053099133923E+001                 -2.6742027472054581E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.1154486247277740E+000                  1.1154421505898475E+000                  1.0422561901036338E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.5996244049664696E+010                  3.6853628301988654E+004                  4.5664802513256557E+000                 -1.1615545500758024E+000                 -2.1910846168247162E+000                  4.4806125040715134E+008                  8.6513373865329317E+000                  8.8676864333213690E+000                  2.5596635454649212E-006                  7.6785567318855303E+000                  7.9264990666442596E+000                  2.5220844762035156E+001                  2.5220844762035156E+001                  7.9264990666442596E+000                  7.6785567318855303E+000                  1.8029458077574569E+000                  4.9904376339893308E-001                  1.7984292524524385E+001                  0.0000000000000000E+000                  2.0427738268037743E-022                  3.8204554797636181E-002                  4.0072947110802681E-001                  1.0441938472969998E-008                  2.8033046571401397E-008                  2.5562349894014016E-014                  1.8549978138911167E-005                  2.1673149416463086E+005                                        2                                        5 
                                      15                                      942                  5.7007118269965061E-005                  1.8017456065130861E+002                 -5.2434104953627383E+000                  1.1154486247277944E+000                  3.3345955482729480E+001                 -8.9999999999999982E+000                  3.9016067873058933E-007                  1.7488964531980550E-007                  8.7444813166748014E-008                  1.0000000000000000E+000                  9.9999999999682376E-001                  9.0035224807999403E-001                  8.7444813166748014E-008                  9.7933007934805971E-001                  9.7835361620661354E-001                 -2.5975911663258028E+001                 -2.6742027471711030E+001                 -1.4353030181565956E+001                 -1.4353030181564744E+001                 -2.5976338392228342E+001                 -2.8983757193783109E+001                 -2.6742027471711030E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.1154486247277944E+000                  1.1154421505898457E+000                  1.0422561901036336E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2776177148078069E+011                  3.1243120689070638E+004                  4.4947544064586085E+000                 -1.4484434799124226E+000                 -2.1910773920089324E+000                  4.4806870430549777E+008                  8.6513446113487156E+000                  8.8676719836898101E+000                  1.0176660950703047E-005                  7.6785586053021104E+000                  7.9264990643894864E+000                  2.5220844762034005E+001                  2.5220844762034005E+001                  7.9264990643894864E+000                  7.6785586053021104E+000                  1.8029458077603568E+000                  4.9904376339891887E-001                  1.7984292524808382E+001                  0.0000000000000000E+000                  2.0427739093543116E-022                  3.8204554782772952E-002                  4.0072947107735296E-001                  1.6300699465879107E-008                  4.3761860575480729E-008                  3.9904982788975553E-014                  1.8549978144647413E-005                  7.5119569882246980E+005                                        2                                        7 
                                      20                                      946                  7.3734930929971181E-005                  9.6103024586211802E+001                 -5.5163669109418514E+000                  1.1154486247278113E+000                  3.3345955482729487E+001                 -8.9999999999999982E+000                  3.9016085890305357E-007                  1.7488964473134792E-007                  8.7444812578292640E-008                  1.0000000000000000E+000                  9.9999999999739475E-001                  9.0035224807998449E-001                  8.7444812578292640E-008                  9.7933007934804772E-001                  9.7835361620660155E-001                 -2.5975115975353148E+001                 -2.6742027471353975E+001                 -1.4353030181214823E+001                 -1.4353030181213610E+001                 -2.5975551101879237E+001                 -2.8974502272284504E+001                 -2.6742027471353975E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.1154486247278113E+000                  1.1154421505898489E+000                  1.0422561901036376E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.4668066697243271E+010                  3.7040594926866434E+004                  4.5686779534791269E+000                 -1.1527380523408575E+000                 -2.1910717722641846E+000                  4.4807450232537651E+008                  8.6513502310934633E+000                  8.8676607442003217E+000                 -4.8549610652746479E-007                  7.6785609455020580E+000                  7.9264990615735682E+000                  2.5220844762033579E+001                  2.5220844762033579E+001                  7.9264990615735682E+000                  7.6785609455020580E+000                  1.8029458077603566E+000                  4.9904376339891887E-001                  1.7984292524808382E+001                  0.0000000000000000E+000                  2.0427739093551509E-022                  3.8204554782772800E-002                  4.0072947107735257E-001                  2.1083835036832237E-008                  5.6602980027677934E-008                  5.1614451650979815E-014                  1.8549978149330516E-005                  4.3087848372754682E+005                                        2                                        5 
                                      25                                      952                  9.8403493450572137E-005                  1.5942338542557502E+002                 -5.2965519397594090E+000                  1.1154486247278359E+000                  3.3345955482729501E+001                 -8.9999999999999982E+000                  3.9016087806472581E-007                  1.7488964416368772E-007                  8.7444812010635458E-008                  1.0000000000000000E+000                  9.9999999999852796E-001                  9.0035224807996550E-001                  8.7444812010635458E-008                  9.7933007934802596E-001                  9.7835361620657979E-001                 -2.5972515097777315E+001                 -2.6742027470965155E+001                 -1.4353030180814487E+001                 -1.4353030180813267E+001                 -2.5972951475877164E+001                 -2.8970654632978032E+001                 -2.6742027470965155E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.1154486247278359E+000                  1.1154421505898482E+000                  1.0422561901036380E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.0493042206061768E+010                  3.5067128973534047E+004                  4.5449002106493301E+000                 -1.2478206855421272E+000                 -2.1910576032052269E+000                  4.4808912120236599E+008                  8.6513644001524224E+000                  8.8676324060824161E+000                  1.0719434220273565E-005                  7.6785619757909043E+000                  7.9264990603336472E+000                  2.5220844762033160E+001                  2.5220844762033160E+001                  7.9264990603336472E+000                  7.6785619757909043E+000                  1.8029458077603568E+000                  4.9904376339891898E-001                  1.7984292524808392E+001                  0.0000000000000000E+000                  2.0427739093577025E-022                  3.8204554782772321E-002                  4.0072947107735174E-001                  2.8137516046345836E-008                  7.5539754676281224E-008                  6.8882445415400383E-014                  1.8549978156236752E-005                  9.3571546845997847E+005                                        2                                        6 
                                      30                                      953                  1.1980058757172619E-004                  1.7630951040985192E+002                 -5.2528282276326470E+000                  1.1154486247278572E+000                  3.3345955482729508E+001                 -8.9999999999999982E+000                  3.9016086794698455E-007                  1.7488964188439975E-007                  8.7444809731350199E-008                  1.0000000000000000E+000                  9.9999999999851041E-001                  9.0035224807994896E-001                  8.7444809731350199E-008                  9.7933007934800709E-001                  9.7835361620656092E-001                 -2.5971406344401196E+001                 -2.6742027470603777E+001                 -1.4353030180440975E+001                 -1.4353030180439751E+001                 -2.5971840666307244E+001                 -2.8971596063978811E+001                 -2.6742027470603777E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.1154486247278572E+000                  1.1154421505898484E+000                  1.0422561901036382E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.8744898256329712E+010                  3.5259841364998676E+004                  4.5472803540648146E+000                 -1.2382898839802343E+000                 -2.1910524892552501E+000                  4.4809439761949360E+008                  8.6513695141023987E+000                  8.8676221781824704E+000                  7.8715303422513326E-006                  7.6785635285472305E+000                  7.9264990584645014E+000                  2.5220844762031827E+001                  2.5220844762031827E+001                  7.9264990584645014E+000                  7.6785635285472305E+000                  1.8029458077603580E+000                  4.9904376339891882E-001                  1.7984292524808431E+001                  0.0000000000000000E+000                  2.0427739093681488E-022                  3.8204554782770440E-002                  4.0072947107734763E-001                  3.4255735227636171E-008                  9.1965127149263048E-008                  8.3860411300208354E-014                  1.8549978162227111E-005                  8.2164644458136300E+005                                        2                                        6 
                                      35                                      954                  1.4620974465426201E-004                  1.5200387940544877E+002                 -5.3172492950425623E+000                  1.1154486247278836E+000                  3.3345955482729515E+001                 -8.9999999999999982E+000                  7.8032034028799761E-007                  3.4977933262486183E-007                  8.7444809742400987E-008                  1.0000000000000000E+000                  9.9999999999908640E-001                  9.0035224807992886E-001                  8.7444809742400987E-008                  9.7933007934798433E-001                  9.7835361620653827E-001                 -2.5969617444464998E+001                 -2.6742027470202906E+001                 -1.4353030180022497E+001                 -1.4353030180021269E+001                 -2.5970046354450702E+001                 -2.8975250035689882E+001                 -2.6742027470202906E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.1154486247278836E+000                  1.1154421505898491E+000                  1.0422561901036391E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.1310284885483246E+010                  3.7535675447264643E+004                  4.5744442353184427E+000                 -1.1296119809328966E+000                 -2.1910413002388358E+000                  4.4810594232099348E+008                  8.6513807031188126E+000                  8.8675998001496517E+000                 -5.9734197377001953E-007                  7.6785637648040286E+000                  7.9264990581832588E+000                  2.5220844762031284E+001                  2.5220844762031284E+001                  7.9264990581832588E+000                  7.6785637648040286E+000                  1.8029458078782805E+000                  4.9904376339834372E-001                  1.7984292536355664E+001                  0.0000000000000000E+000                  2.0427772657999396E-022                  3.8204554178441041E-002                  4.0072946983016661E-001                  4.1807056887592256E-008                  1.1223790052543939E-007                  1.0234682125798326E-013                  1.8549978169620679E-005                  4.3932114397681056E+005                                        2                                        6 
                                      40                                      951                  1.8922259996582896E-004                  3.7823429320216621E+002                 -4.9213430648044376E+000                  1.1154486247279267E+000                  3.3345955482729536E+001                 -8.9999999999999982E+000                  7.8032180349171572E-007                  3.4977933056553336E-007                  8.7444807683080986E-008                  1.0000000000000000E+000                  9.9999999999984901E-001                  9.0035224807989223E-001                  8.7444807683080986E-008                  9.7933007934794369E-001                  9.7835361620649763E-001                 -2.5966410154612394E+001                 -2.6742027469696279E+001                 -1.4353030179503122E+001                 -1.4353030179501886E+001                 -2.5966827974024049E+001                 -2.8983414745677681E+001                 -2.6742027469696279E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.1154486247277429E+000                  1.1154421505898460E+000                  1.0422561901036373E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.4180407844151726E+010                  3.7105269502731855E+004                  4.5694355903010129E+000                 -1.1495362665734237E+000                 -2.1909861530242414E+000                  4.4816284694360459E+008                  8.6514358503334066E+000                  8.8674895057204797E+000                  1.6772424704055783E-005                  7.6785582911034540E+000                  7.9264990647677465E+000                  2.5220844762029682E+001                  2.5220844762029682E+001                  7.9264990647677465E+000                  7.6785582911034540E+000                  1.8029458078782801E+000                  4.9904376339834372E-001                  1.7984292536355667E+001                  0.0000000000000000E+000                  2.0427772658000818E-022                  3.8204554178440993E-002                  4.0072946983016661E-001                  5.4105894970648606E-008                  1.4525616785343137E-007                  1.3245581997608017E-013                  1.8549978181662892E-005                  1.4536040670810154E+005                                        2                                        8 
